"id";"reputation";"ex";"indegree";"outdegree";"pagerank";"eccentricity";"closeness";"betweeness";"eigenvector"
"17646";"116";"0";"0";"2";"0,0000311204305365192";"7";"0,292482316170423";"0";"0"
"17648";"68";"0";"0";"1";"0,0000311204305365192";"7";"0,297473648987786";"0";"0"
"17651";"1";"0";"1";"2";"0,0000409085576785011";"7";"0,279855152326222";"21,8554674161055";"0,000290560272557236"
"17654";"1";"0";"1";"3";"0,0000434238702917287";"7";"0,294297773731689";"0";"0,000244794250290666"
"17657";"123";"0";"1";"3";"0,0000538405491382178";"7";"0,288672350791717";"137,835345879748";"0,000526274031351122"
"18658";"16";"0";"0";"2";"0,0000311204305365192";"7";"0,292940110388006";"0";"0"
"18659";"16";"0";"0";"1";"0,0000311204305365192";"7";"0,292121909143186";"0";"0"
"18663";"11";"0";"0";"1";"0,0000311204305365192";"8";"0,2620486366986";"0";"0"
"18667";"106";"0";"1";"4";"0,0000395180153584541";"8";"0,275232198142415";"0";"0,000244794250290666"
"18668";"1";"0";"1";"0";"0,0000363044774385408";"0";"0";"0";"0,000256031878410059"
"18677";"31";"0";"1";"4";"0,0000395180153584541";"7";"0,297697781498535";"0";"0,000244794250290666"
"18682";"101";"0";"1";"0";"0,0000530857804259412";"0";"0";"0";"0,00143033618361798"
"18698";"101";"0";"1";"0";"0,0000950858651926462";"0";"0";"0";"0,0168620622660707"
"18703";"155";"0";"0";"5";"0,0000311204305365192";"7";"0,296738132977392";"0";"0"
"18707";"17";"0";"2";"4";"0,000114055595901949";"7";"0,298814827267378";"5529,72125663828";"0,00438851663973131"
"18708";"88";"0";"3";"9";"0,000130623313983409";"6";"0,320993227990971";"565,092507084936";"0,0158288372753431"
"18714";"6";"0";"0";"3";"0,0000311204305365192";"7";"0,300922399932301";"0";"0"
"18726";"24";"0";"0";"5";"0,0000311204305365192";"7";"0,29998312805804";"0";"0"
"18728";"101";"0";"1";"0";"0,0000433823554027094";"0";"0";"0";"0,00071054020417199"
"18729";"128";"0";"2";"2";"0,000126961629454685";"7";"0,266791744840525";"0";"0,00465522081457775"
"18732";"18";"0";"1";"3";"0,0000434238702917287";"7";"0,291930055003694";"0";"0,000244794250290666"
"18733";"101";"0";"1";"0";"0,000036410907661261";"0";"0";"0";"0,000234585940166365"
"18737";"106";"0";"1";"5";"0,0000751686943521724";"7";"0,307180506350989";"5586,70614640674";"0,00414090047144512"
"18742";"101";"0";"2";"0";"0,000080461545092841";"0";"0";"0";"0,00163783226605922"
"18746";"1";"0";"1";"0";"0,0000483479674320887";"0";"0";"0";"0,00169777871975072"
