"id";"userId";"indegree";"outdegree";"pagerank";"eccentricity";"closeness";"betweeness";"eigenvector";"ex";"reputation"
"12891";"12891";"0";"10";"0,0000311204305365192";"7";"0,326063049853372";"0";"0";"0";"93"
"12892";"12892";"1";"7";"0,0000354216319846129";"7";"0,302029379298633";"0";"0,000244794250290666";"0";"123"
"12893";"12893";"0";"2";"0,0000311204305365192";"7";"0,298798420300815";"0";"0";"0";"1"
"12894";"12894";"1";"1";"0,0000354216319846129";"8";"0,273097304354504";"29,6044106250913";"0,000244794250290666";"0";"111"
"12898";"12898";"1";"7";"0,000055773936517967";"7";"0,308459869848156";"84,0117279200769";"0,000294804617021025";"0";"99"
"12899";"12899";"2";"13";"0,0000453850897617336";"7";"0,318092340730136";"11091,0587418715";"0,00090784569636705";"0";"69"
"12900";"12900";"0";"9";"0,0000311204305365192";"7";"0,316849327274347";"0";"0";"0";"44"
"12904";"12904";"1";"0";"0,0000374945005479113";"0";"0";"0";"0,000244794250290666";"0";"1"
"12905";"12905";"5";"5";"0,000270841598768645";"7";"0,295045231969458";"365,117567634983";"0,0343146414596882";"0";"158"
"12909";"12909";"54";"25";"0,00120254345224929";"7";"0,327046918123275";"47048,8352292241";"0,0856003658723408";"1";"2006"
"12912";"12912";"1";"0";"0,0000422203669181203";"0";"0";"0";"0,000253625608071522";"0";"11"
"12915";"12915";"2";"0";"0,0000629279904064646";"0";"0";"0";"0,00268708206659018";"0";"101"
"12917";"12917";"1";"2";"0,0000541225221327741";"7";"0,292121909143186";"0";"0,000244794250290666";"0";"11"
"12919";"12919";"0";"4";"0,0000311204305365192";"7";"0,309702142483888";"0";"0";"0";"141"
"12923";"12923";"30";"23";"0,000812426649348447";"7";"0,344610314075223";"30596,2858723995";"0,0796585177085519";"1";"647"
"12924";"12924";"10";"6";"0,000245968635384538";"7";"0,297564242069139";"677,715236695282";"0,0140903526510052";"0";"98"
"12927";"12927";"3";"1";"0,0000930077953946466";"7";"0,290156709108717";"317,90154776529";"0,00148700414426344";"0";"31"
"12930";"12930";"0";"4";"0,0000311204305365192";"7";"0,290485912617395";"0";"0";"0";"66"
"12933";"12933";"0";"1";"0,0000311204305365192";"7";"0,292121909143186";"0";"0";"0";"48"
"12934";"12934";"5";"0";"0,000127871046851461";"0";"0";"0";"0,0185357301828529";"0";"101"
"12935";"12935";"5";"12";"0,000202608277112728";"7";"0,322098396303343";"1609,75480821204";"0,0129921068090785";"0";"61"
"12939";"12939";"2";"36";"0,0000969324125923994";"7";"0,344343277799303";"34724,3731641496";"0,0174697969476949";"1";"752"
"12941";"12941";"1";"0";"0,0000449543757783422";"0";"0";"0";"0,000419197112576219";"0";"101"
"12942";"12942";"6";"11";"0,000262860057634458";"7";"0,327016833777941";"425,111583260517";"0,0179218954007867";"0";"83"
"12943";"12943";"2";"3";"0,0000526514501081358";"8";"0,25152072428915";"13,1330871742636";"0,000489588500581331";"0";"101"
"12944";"12944";"0";"2";"0,0000311204305365192";"7";"0,294492753623188";"0";"0";"0";"6"
"12945";"12945";"0";"5";"0,0000311204305365192";"7";"0,287678990372947";"0";"0";"0";"16"
"12946";"12946";"4";"1";"0,000557557381114535";"0";"0";"0";"0,00326758705999037";"0";"46"
"12948";"12948";"0";"2";"0,0000311204305365192";"7";"0,297672861208773";"0";"0";"0";"6"
"12950";"12950";"2";"0";"0,0000418313039859303";"0";"0";"0";"0,000967430097732186";"0";"111"
"12955";"12955";"1";"6";"0,0000362568168593035";"7";"0,303490654604421";"0";"0,000244794250290666";"0";"136"
"12957";"12957";"0";"2";"0,0000311204305365192";"7";"0,285921042051942";"0";"0";"0";"23"
"12958";"12958";"1";"5";"0,0000374945005479113";"7";"0,292025950562536";"0";"0,000244794250290666";"0";"30"
"12959";"12959";"3";"8";"0,000114974852120603";"7";"0,319464414090582";"93,9267078042332";"0,0177603023862266";"0";"70"
"12961";"12961";"1";"3";"0,0000434238702917287";"7";"0,287423213708374";"0";"0,000244794250290666";"0";"13"
"12962";"12962";"3";"6";"0,000222057918981111";"7";"0,301245657147699";"384,231920612375";"0,0248008861491935";"0";"131"
"12966";"12966";"2";"3";"0,0000979406709675654";"8";"0,260534994503481";"44,0153225873427";"0,00131723703887771";"0";"38"
"12970";"12970";"1";"7";"0,0000354216319846129";"7";"0,302149715353896";"0";"0,000244794250290666";"0";"126"
"12971";"12971";"1";"8";"0,0000348200652829295";"7";"0,312560428935572";"0";"0,000244794250290666";"0";"36"
"12972";"12972";"14";"8";"0,000244117560010461";"7";"0,314379200565971";"13422,4264186692";"0,0112200740068178";"0";"85"
"12973";"12973";"0";"1";"0,0000311204305365192";"7";"0,257998984255968";"0";"0";"0";"6"
"12976";"12976";"0";"1";"0,0000311204305365192";"7";"0,290143603133159";"0";"0";"0";"1"
