"questionId";"finished";"experts";"indegree";"outdegree";"pagerank";"eccentricity";"closeness";"betweeness";"eigenvector"
"34496";"1";"1";"934,0000";"260,0000";"0,0194305943586881";"6,0000";"0,412556574213764";"2861258,91970391";"0,712849195596422"
"34497";"1";"1";"490,0000";"93,0000";"0,0102389488736368";"6,0000";"0,376270110076207";"821480,227897471";"0,54585824275312"
"34501";"0";"0";\N;\N;\N;\N;\N;\N;\N
"34503";"0";"0";\N;\N;\N;\N;\N;\N;\N
"34504";"0";"0";\N;\N;\N;\N;\N;\N;\N
"34505";"0";"0";\N;\N;\N;\N;\N;\N;\N
"34506";"1";"1";"56,0000";"27,0000";"0,0011903850889058";"7,0000";"0,344209914794733";"61403,9513164037";"0,115537668775535"
"34507";"1";"2";"17,5000";"18,0000";"0,00051686250369922";"7,0000";"0,3418492241875545";"15740,855553296495";"0,0476687325502324"
"34510";"1";"1";"934,0000";"260,0000";"0,0194305943586881";"6,0000";"0,412556574213764";"2861258,91970391";"0,712849195596422"
"34512";"1";"1";"128,0000";"51,0000";"0,00309205338653804";"7,0000";"0,36080381609662";"199975,009965192";"0,230546611410921"
"34518";"1";"1";"180,0000";"56,0000";"0,0038714647690388";"7,0000";"0,351388751606207";"297840,528093509";"0,253012051354459"
"34521";"1";"1";"934,0000";"260,0000";"0,0194305943586881";"6,0000";"0,412556574213764";"2861258,91970391";"0,712849195596422"
"34527";"1";"1";"398,0000";"129,0000";"0,00826626216433255";"6,0000";"0,399527983816588";"979409,158855368";"0,515699319724749"
"34529";"0";"0";"115,0000";"53,0000";"0,00219226023175306";"7,0000";"0,354366028708134";"232981,649223532";"0,109224644837331"
"34533";"0";"0";"5,0000";"13,0000";"0,000221298358049993";"7,0000";"0,339088134299886";"885,425234193488";"0,0156789473919129"
"34535";"0";"0";"449,0000";"122,6667";"0,009859131175983771";"6,6667";"0,3704124993699183";"1055156,4811135458";"0,44403959519357467"
"34539";"1";"1";"133,0000";"28,0000";"0,00258974339806004";"6,0000";"0,348802982731554";"120863,421526654";"0,19247226134238"
"34540";"1";"1";"374,0000";"63,0000";"0,00833592941207391";"7,0000";"0,350488021295475";"412906,763250483";"0,484699790901614"
"34542";"1";"2";"566,5000";"161,0000";"0,012159945353407794";"6,0000";"0,3939168387800585";"1598828,4722479526";"0,5233601406405071"
"34544";"1";"2";"128,5000";"44,0000";"0,002741835943345082";"6,5000";"0,3385004853829835";"262640,4455691735";"0,17375376642698173"
"34545";"1";"0";"1,0000";"1,0000";"0,0000558656196164251";"8,0000";"0,224559408754974";"6,17418445413664";"0,00252884561749513"
"34546";"1";"2";"524,5000";"156,5000";"0,010811427295220579";"6,5000";"0,38346130146094903";"1547120,284463721";"0,4110369202168765"
"34547";"1";"2";"98,5000";"34,0000";"0,0020449970635173747";"7,0000";"0,3349115022810685";"149911,227075315";"0,13245509293811153"
"34561";"1";"2";"493,5000";"152,5000";"0,01057803327887653";"6,5000";"0,380907942720829";"1338313,8540913211";"0,42472581551488947"
"34565";"1";"1";"872,0000";"252,0000";"0,018963806326";"6,0000";"0,407449856733524";"2443646,05895911";"0,740226986192448"
"34566";"1";"1";"934,0000";"260,0000";"0,0194305943586881";"6,0000";"0,412556574213764";"2861258,91970391";"0,712849195596422"
"34567";"1";"1";"135,0000";"56,0000";"0,00290199211588184";"7,0000";"0,362311455360783";"227898,01312221";"0,200201311468121"
