Source;Target;Type;id;label;timeset;weight;relation
3883;69;Directed;438;;;1.0;2.0
3553;10104;Directed;439;;;12.0;1.0
9020;16017;Directed;440;;;1.0;2.0
5014;8186;Directed;441;;;1.0;2.0
19099;13338;Directed;442;;;1.0;1.0
3624;8630;Directed;443;;;3.0;2.0
28;1320;Directed;444;;;4.0;1.0
20230;16651;Directed;445;;;1.0;2.0
10481;5144;Directed;446;;;4.0;2.0
11647;19099;Directed;447;;;1.0;2.0
15643;4747;Directed;448;;;1.0;2.0
3139;3053;Directed;449;;;2.0;2.0
20074;3340;Directed;450;;;1.0;2.0
22628;4108;Directed;451;;;1.0;1.0
13456;10456;Directed;452;;;1.0;2.0
5755;15133;Directed;453;;;2.0;2.0
3139;3059;Directed;454;;;1.0;2.0
137;154;Directed;455;;;3.0;1.0
15251;14735;Directed;456;;;1.0;2.0
5005;4139;Directed;457;;;1.0;1.0
1709;1590;Directed;458;;;9.0;2.0
19303;948;Directed;459;;;1.0;2.0
3971;4026;Directed;460;;;1.0;2.0
21573;1590;Directed;461;;;1.0;2.0
8547;8116;Directed;462;;;1.0;0.0
9020;16003;Directed;463;;;1.0;2.0
43;8015;Directed;464;;;1.0;1.0
1578;6061;Directed;465;;;1.0;1.0
14759;14849;Directed;466;;;1.0;2.0
1885;806;Directed;467;;;1.0;2.0
4579;5491;Directed;468;;;3.0;2.0
3340;11652;Directed;469;;;1.0;1.0
23285;15695;Directed;470;;;1.0;2.0
3340;11657;Directed;471;;;1.0;1.0
1224;3952;Directed;472;;;3.0;1.0
10013;22864;Directed;473;;;1.0;0.0
16299;19650;Directed;474;;;1.0;1.0
5796;5798;Directed;475;;;1.0;0.0
12909;12982;Directed;476;;;2.0;2.0
496;115;Directed;477;;;1.0;2.0
864;68;Directed;478;;;1.0;1.0
11676;8809;Directed;479;;;1.0;2.0
6408;3340;Directed;480;;;1.0;2.0
16041;14815;Directed;481;;;1.0;1.0
1216;307;Directed;482;;;1.0;1.0
8135;3632;Directed;483;;;2.0;2.0
6316;4108;Directed;484;;;5.0;2.0
4747;284;Directed;485;;;1.0;1.0
15706;15695;Directed;486;;;3.0;2.0
6136;13388;Directed;487;;;1.0;1.0
4014;3952;Directed;488;;;1.0;2.0
10246;6289;Directed;489;;;1.0;1.0
307;15330;Directed;490;;;1.0;2.0
10139;152;Directed;491;;;1.0;2.0
5502;1590;Directed;492;;;3.0;2.0
17427;15807;Directed;493;;;1.0;1.0
8165;5762;Directed;494;;;1.0;2.0
10013;22873;Directed;495;;;1.0;0.0
19128;14946;Directed;496;;;4.0;2.0
6422;3061;Directed;497;;;2.0;1.0
4427;4423;Directed;498;;;1.0;2.0
1800;5144;Directed;499;;;1.0;1.0
5578;5144;Directed;500;;;2.0;1.0
20037;15695;Directed;501;;;2.0;2.0
3316;3059;Directed;502;;;3.0;2.0
3632;3032;Directed;503;;;1.0;1.0
21361;20256;Directed;504;;;1.0;0.0
1521;69;Directed;505;;;1.0;2.0
115;5596;Directed;506;;;1.0;2.0
10246;12877;Directed;507;;;1.0;1.0
8733;1231;Directed;508;;;1.0;2.0
16829;13338;Directed;509;;;1.0;2.0
6137;3624;Directed;510;;;1.0;1.0
10111;6511;Directed;511;;;1.0;2.0
22286;3703;Directed;512;;;1.0;2.0
1224;1303;Directed;513;;;1.0;1.0
8135;3657;Directed;514;;;1.0;2.0
8969;4101;Directed;515;;;1.0;2.0
6131;231;Directed;516;;;1.0;1.0
22013;12877;Directed;517;;;1.0;2.0
16539;4108;Directed;518;;;1.0;1.0
4457;6511;Directed;519;;;1.0;2.0
